ClienteCodigo,Potencial
0000238419,P1
0000476608,P4
0000233491,P4
0000523061,P1
0000425714,P2
0000529649,P3
0000245771,P3
0000503068,P4
0000484991,P4
0000507731,P4
0000488055,P4
0000441035,P1
0000458030,P2
0000429467,P2
0000239625,P3
0000509053,P3
0000509149,P3
0000506308,P3
0000440198,P3
0000499712,P1
0000515627,P4
0000240098,P1
0000519245,P3
0000440739,P4
0000233408,P1
0000515518,P4
0000415889,P3
0000531055,P4
0000502164,P3
0000442192,P3
0000393815,P2
0000467860,P3
0000442693,P2
0000522664,P3
0000526990,P3
0000472234,P4
0000532928,P3
0000513439,P4
0000529919,P3
0000535897,P3
0000535898,P4
0000535899,P4
0000535900,P2
0000535901,P2
0000535902,P3
0000535903,P1
0000535904,P4
0000535905,P4
0000535906,P3
0000535907,P4
0000535908,P2
0000535909,P3
0000535910,P4
0000535911,P3
0000535912,P2
0000535913,P2
0000535914,P2
0000535915,P4
0000535916,P2
0000535917,P3
0000535918,P2
0000535919,P4
0000535920,P4
0000535922,P2
0000535923,P4
0000474879,P3
0000499004,P3
0000528068,P3
0000494171,P4
0000531304,P4
0000445434,P3
0000511946,P1
0000390551,P3
0000434715,P3
0000463279,P4
0000240284,P4
0000385398,P2
0000432023,P3
0000496622,P2
0000500030,P4
0000534596,P2
0000393858,P2
0000489127,P3
0000464487,P3
0000417314,P1
0000523676,P4
0000496955,P3
0000434041,P4
0000523964,P4
0000514202,P4
0000433534,P3
0000230437,P3
0000304318,P2
0000508536,P2
0000513846,P4
0000520075,P2
0000488935,P2
0000233097,P3
0000524002,P3
0000524471,P4
0000434288,P2
0000498234,P3
0000517715,P4
0000461770,P2
0000480222,P3
0000448869,P2
0000401814,P2
0000494546,P4
0000442784,P4
0000258890,P2
0000502254,P4
0000392441,P3
0000419226,P4
0000230455,P2
0000483830,P3
0000508037,P2
0000437843,P4
0000261841,P4
0000514370,P2
0000476034,P3
0000451091,P4
0000397168,P2
0000230757,P2
0000431678,P4
0000526135,P3
0000497285,P4
0000526630,P3
0000243702,P3
0000439756,P4
0000515291,P4
0000518011,P2
0000410667,P4
0000520395,P4
0000491724,P1
0000438436,P4
0000512565,P3
0000506130,P3
0000497083,P3
0000389628,P4
0000431508,P1
0000505300,P2
0000513837,P4
0000232630,P4
0000240060,P4
0000280052,P1
0000513461,P2
0000498960,P4
0000442727,P3
0000490778,P2
0000498983,P4
0000505327,P2
0000487397,P4
0000430545,P2
0000479640,P4
0000486990,P2
0000405446,P4
0000402474,P1
0000505821,P3
0000532819,P1
0000511105,P4
0000400744,P3
0000516546,P4
0000529506,P4
0000418817,P2
0000501590,P4
0000483899,P3
0000533078,P2
0000483658,P4
0000491746,P4
0000417557,P3
0000523377,P4
0000522698,P2
0000439534,P4
0000399934,P3
0000486765,P4
0000405496,P2
0000231589,P1
0000474838,P4
0000518563,P4
0000258493,P2
0000402906,P4
0000526368,P4
0000493751,P2
0000478517,P4
0000234751,P4
0000244843,P1
0000517837,P4
0000474501,P3
0000460922,P1
0000242805,P3
0000531998,P4
0000402847,P2
0000464471,P4
0000498069,P4
0000466328,P2
0000520627,P4
0000529960,P4
0000450658,P3
0000534620,P4
0000437723,P4
0000241490,P2
0000502130,P1
0000457511,P4
0000244040,P3
0000474946,P4
0000397465,P1
0000491963,P2
0000484167,P1
0000457113,P4
0000510359,P2
0000242172,P2
0000529526,P3
0000530174,P2
0000516871,P2
0000449168,P4
0000450646,P3
0000498139,P3
0000498485,P3
0000449336,P1
0000526627,P4
0000400876,P2
0000498215,P4
0000395555,P4
0000472993,P2
0000239459,P2
0000263855,P4
0000518921,P2
0000501307,P1
0000476170,P4
0000526697,P2
0000484772,P4
0000407651,P2
0000524182,P2
0000417284,P2
0000530594,P4
0000483047,P3
0000530390,P2
0000498859,P4
0000534381,P3
0000398908,P4
0000409117,P4
0000505172,P4
0000505674,P3
0000525672,P3
0000498979,P4
0000425016,P2
0000523882,P3
0000476952,P3
0000512138,P4
0000429617,P2
0000241660,P3
0000241123,P3
0000539354,P2
0000540045,P3
0000540046,P3
0000540047,P3
0000540048,P3
0000540049,P4
0000540050,P1
0000540051,P3
0000540052,P4
0000540053,P3
0000540054,P4
0000540055,P4
0000540056,P3
0000540057,P4
0000540058,P4
0000540059,P4
0000540060,P4
0000540061,P4
0000540062,P3
0000540063,P3
0000540064,P4
0000540065,P1
0000540066,P4
0000540067,P3
0000540068,P4
0000540069,P2
0000540070,P2
0000540071,P3
0000540072,P4
0000540073,P3
0000540074,P4
0000540075,P3
0000540076,P3
0000540077,P1
0000540078,P3
0000540079,P1
0000527721,P4
0000429507,P3
0000428931,P2
0000507389,P4
0000494086,P4
0000401920,P4
0000425516,P4
0000469614,P3
0000503542,P4
0000495018,P4
0000444883,P4
0000381762,P4
0000267757,P2
0000530004,P3
0000523927,P3
0000490647,P4
0000528488,P4
0000231727,P1
0000507212,P3
0000403307,P3
0000442812,P4
0000233301,P2
0000446805,P1
0000534744,P4
0000412381,P4
0000235756,P3
0000383726,P4
0000233372,P1
0000230567,P3
0000236322,P1
0000504164,P4
0000535207,P3
0000535208,P3
0000535209,P3
0000535210,P4
0000535211,P2
0000535212,P2
0000535213,P3
0000520609,P4
0000427578,P3
0000532383,P2
0000246106,P4
0000502243,P4
0000261375,P4
0000528542,P1
0000487881,P2
0000230867,P2
0000399241,P2
0000247665,P1
0000512904,P3
0000532598,P3
0000516985,P3
0000395219,P2
0000465449,P1
0000508874,P2
0000485594,P2
0000523488,P4
0000492378,P4
0000257591,P3
0000281043,P2
0000528041,P4
0000503823,P2
0000493052,P3
0000468587,P3
0000506855,P4
0000474120,P4
0000399532,P3
0000464868,P3
0000468238,P3
0000483827,P3
0000525157,P4
0000534563,P3
0000532779,P3
0000513601,P4
0000481073,P3
0000385235,P3
0000513108,P4
0000429543,P1
0000523698,P3
0000499649,P2
0000436934,P2
0000474148,P4
0000496119,P4
0000526288,P3
0000263849,P4
0000494746,P2
0000469972,P1
0000400013,P3
0000489460,P3
0000522473,P4
0000474150,P3
0000496602,P4
0000505011,P4
0000527657,P2
0000517501,P2
0000480175,P3
0000481405,P4
0000514806,P4
0000480535,P4
0000463963,P4
0000411968,P3
0000448303,P4
0000470820,P4
0000492876,P3
0000386407,P2
0000235745,P1
0000436125,P2
0000400691,P2
0000521850,P4
0000247463,P2
0000503399,P2
0000419106,P4
0000531885,P4
0000460518,P4
0000530167,P3
0000510485,P4
0000248834,P2
0000519167,P3
0000506882,P2
0000245554,P1
0000533753,P4
0000523325,P4
0000388105,P2
0000517771,P4
0000503024,P4
0000521887,P3
0000504501,P2
0000461482,P3
0000532002,P4
0000482149,P3
0000528759,P2
0000433477,P4
0000314323,P2
0000487699,P4
0000509801,P4
0000446926,P2
0000485221,P1
0000519317,P3
0000273325,P1
0000497837,P2
0000498738,P4
0000481112,P2
0000466062,P3
0000455022,P3
0000404178,P1
0000529383,P3
0000419301,P2
0000498321,P2
0000512908,P2
0000472942,P3
0000475870,P1
0000517664,P4
0000490562,P3
0000531183,P4
0000508193,P3
0000515991,P3
0000503355,P1
0000523858,P1
0000528693,P4
0000528842,P3
0000384932,P4
0000478807,P4
0000533809,P3
0000531294,P3
0000503234,P3
0000492217,P3
0000490898,P4
0000385971,P4
0000443828,P4
0000238687,P2
0000528979,P4
0000482807,P3
0000528776,P2
0000495105,P4
0000514975,P1
0000439987,P3
0000476264,P4
0000472869,P2
0000475806,P3
0000519625,P3
0000481859,P3
0000259422,P4
0000522659,P3
0000465405,P4
0000383871,P2
0000514407,P3
0000382736,P2
0000463251,P4
0000391793,P2
0000461813,P4
0000515333,P4
0000519508,P4
0000525376,P4
0000534606,P4
0000521255,P3
0000481157,P3
0000495175,P4
0000286917,P4
0000533356,P4
0000449373,P3
0000264088,P2
0000476061,P4
0000441712,P1
0000505266,P2
0000301840,P4
0000517321,P2
0000446769,P4
0000529653,P4
