ClienteCodigo,Potencial
0000100004,P1
0000262352,P1
0000239145,P3
0000262722,P3
0000262732,P4
0000262849,P4
0000530733,P3
0000530722,P4
0000530728,P3
0000529973,P4
0000530515,P4
0000530630,P2
0000529797,P4
0000528748,P3
0000528774,P2
0000528729,P4
0000528837,P3
0000528833,P4
0000528922,P4
0000528954,P4
0000528528,P3
0000528592,P3
0000528572,P3
0000528661,P2
0000528696,P2
0000528537,P3
0000528563,P2
0000528486,P2
0000523865,P4
0000523991,P4
0000523833,P4
0000524674,P3
0000524169,P2
0000524155,P4
0000524238,P2
0000524637,P4
0000524697,P2
0000526295,P4
0000526924,P3
0000527725,P4
0000526259,P3
0000526110,P2
0000527808,P3
0000527537,P1
0000527550,P4
0000527901,P4
0000527907,P2
0000526703,P2
0000526822,P3
0000528266,P2
0000524237,P4
0000524576,P1
0000524108,P4
0000523821,P4
0000523809,P4
0000523895,P2
0000525165,P2
0000525173,P4
0000525170,P4
0000525201,P2
0000525131,P4
0000525237,P4
0000525258,P3
0000525286,P2
0000525255,P4
0000525282,P4
0000525262,P1
0000525435,P2
0000521251,P4
0000521569,P2
0000521067,P4
0000521114,P3
0000521106,P3
0000521087,P4
0000521104,P4
0000239554,P4
0000239570,P1
0000385537,P1
0000385796,P2
0000384170,P2
0000257114,P3
0000257164,P2
0000234815,P2
0000234121,P1
0000234986,P1
0000234998,P1
0000235059,P2
0000234313,P1
0000235101,P3
0000235151,P1
0000234830,P2
0000235216,P2
0000235223,P1
0000241794,P1
0000354044,P4
0000354081,P1
0000361585,P2
0000363226,P2
0000363276,P4
0000231662,P1
0000231663,P2
0000388434,P2
0000257216,P2
0000386130,P1
0000386168,P3
0000248214,P2
0000278368,P4
0000364280,P3
0000400283,P4
0000400284,P2
0000400332,P4
0000365171,P2
0000235310,P2
0000235470,P1
0000235894,P3
0000387323,P2
0000387399,P2
0000521160,P4
0000521180,P4
0000521194,P2
0000521084,P2
0000519040,P2
0000523339,P2
0000519054,P3
0000519268,P2
0000521582,P4
0000521592,P4
0000521603,P3
0000521613,P3
0000521789,P2
0000521623,P2
0000522482,P2
0000522487,P1
0000521640,P3
0000519022,P4
0000522503,P4
0000525552,P2
0000522622,P4
0000521752,P4
0000518943,P4
0000518989,P3
0000519005,P4
