ClienteCodigo,RFM_Score,RFM_Level
230267,11,High
230268,11,High
230271,11,High
230272,12,High
230273,6,Promising
230274,12,High
230275,12,High
230277,9,High
230278,12,High
230279,10,High
230284,10,High
230285,11,High
230289,12,High
230297,4,Needs Attention
230309,11,High
230311,9,High
230312,6,Promising
230316,3,Require Activation
230317,11,High
230319,12,High
230320,8,Medium
230324,10,High
230326,9,High
230327,12,High
230328,8,Medium
230329,11,High
230330,9,High
230331,6,Promising
230333,8,Medium
230335,6,Promising
230336,9,High
230337,8,Medium
230338,10,High
230339,3,Require Activation
230340,11,High
230345,6,Promising
230350,12,High
230351,12,High
230354,12,High
230355,10,High
230364,9,High
230365,3,Require Activation
230367,8,Medium
230368,9,High
230369,9,High
230372,9,High
230375,7,Medium
230377,11,High
230380,12,High
230381,7,Medium
230383,11,High
230392,12,High
230395,11,High
230396,10,High
230399,7,Needs Attention
230402,9,High
230403,9,High
230404,10,High
230407,7,Medium
230408,9,High
230409,7,Medium
230413,11,High
230414,11,High
230415,6,Promising
230417,10,High
230421,10,High
230422,12,High
230426,10,High
230430,11,High
230432,10,High
230437,5,Promising
230439,9,High
230441,12,High
230443,8,Medium
230446,4,Needs Attention
230447,11,High
230448,8,Medium
230449,11,High
230455,9,High
230456,8,Medium
230457,6,Promising
230459,10,High
230462,10,High
230465,6,Promising
230467,8,Medium
230469,9,High
230470,9,High
230471,3,Require Activation
230474,8,Medium
230475,8,Medium
230477,3,Require Activation
230481,3,Require Activation
230485,8,Medium
230495,6,Promising
230505,11,High
230509,7,Medium
230512,11,High
230516,12,High
230525,7,Medium
230529,6,Promising
230533,6,Promising
230546,3,Require Activation
230547,8,Medium
230549,12,High
230556,7,Medium
230567,10,High
230574,12,High
230575,12,High
230576,5,Promising
230577,6,Promising
230578,7,Medium
230584,8,Medium
230588,12,High
230592,9,High
230604,12,High
230608,5,Promising
230614,3,Require Activation
230616,8,Medium
230624,12,High
230633,12,High
230635,11,High
230637,10,High
230643,10,High
230644,3,Require Activation
230647,11,High
230649,10,High
