ClienteCodigo,RFM_Score,RFM_Level
0000230339,6,Promising
0000230340,11,High
0000230345,11,High
0000230349,3,Require Activation
0000230350,11,High
0000230351,12,High
0000230354,12,High
0000230355,12,High
0000230364,9,High
0000230365,3,Require Activation
0000230367,7,Medium
0000230368,10,High
0000230369,10,High
0000230372,8,Medium
0000230375,8,Medium
0000230377,12,High
0000230380,10,High
0000230383,11,High
0000230392,12,High
0000230395,12,High
0000230396,12,High
0000230399,6,Needs Attention
0000230402,10,High
0000230403,12,High
0000230404,11,High
0000230407,7,Medium
0000230408,7,Medium
0000230409,6,Promising
0000230413,12,High
0000230414,11,High
0000230415,8,Medium
0000230417,10,High
0000230421,9,High
0000230422,12,High
0000230426,10,High
0000230430,12,High
0000230432,10,High
0000230437,8,Medium
0000230439,9,High
0000230441,12,High
0000230443,7,Medium
0000230447,10,High
0000230448,9,High
0000230449,9,High
0000230455,8,Medium
0000230456,8,Medium
0000230457,8,Medium
0000230459,11,High
0000230462,12,High
0000230465,10,High
0000230467,10,High
0000230469,6,Promising
0000230470,8,Medium
0000230471,4,Needs Attention
0000230474,9,High
0000230475,9,High
0000230477,3,Require Activation
0000230481,10,High
0000230485,7,Medium
0000230495,7,Medium
0000230505,9,High
0000230509,9,High
0000230512,8,Medium
0000230516,12,High
0000230525,8,Medium
0000230529,4,Needs Attention
0000230533,10,High
0000230546,4,Needs Attention
0000230547,5,Promising
0000230549,12,High
0000230556,8,Medium
0000230567,10,High
0000230574,12,High
0000230575,11,High
0000230576,7,Medium
0000230577,6,Needs Attention
0000230578,8,Medium
0000232870,11,High
0000232872,10,High
0000232883,6,Promising
0000232887,6,Promising
0000232889,10,High
0000232894,10,High
0000232898,11,High
0000232900,5,Promising
0000232904,11,High
0000232910,7,Medium
0000232913,9,High
0000232914,10,High
0000232919,12,High
0000232920,8,Medium
0000232922,8,Medium
0000232925,8,Medium
0000232927,11,High
0000232928,3,Require Activation
0000232930,7,Medium
0000232932,4,Needs Attention
0000232935,3,Require Activation
0000232937,7,Medium
0000232945,9,High
0000232949,11,High
0000232961,11,High
0000232962,5,Promising
0000232967,11,High
0000232969,11,High
0000232974,11,High
0000232975,9,High
0000232980,12,High
0000232985,9,High
0000232990,8,Medium
0000232999,9,High
0000233007,5,Promising
0000233008,9,High
0000233011,9,High
0000233024,10,High
0000233037,11,High
0000233039,9,High
0000233045,10,High
0000233051,8,Medium
0000233068,9,High
0000233070,11,High
0000233079,7,Medium
0000233086,3,Require Activation
0000233087,8,Medium
0000233097,7,Medium
0000233099,9,High
0000233103,9,High
0000233106,11,High
0000233108,7,Medium
0000233110,9,High
0000233111,3,Require Activation
0000233113,9,High
0000233115,6,Promising
0000233117,5,Promising
0000233120,9,High
0000233126,7,Medium
0000233127,4,Needs Attention
0000233130,6,Promising
0000233132,12,High
0000233142,7,Medium
0000233148,10,High
0000233158,10,High
0000233160,8,Medium
0000233162,6,Promising
0000233166,9,High
0000233167,12,High
0000233172,8,Medium
0000233173,8,Medium
0000233178,10,High
0000233180,3,Require Activation
0000233182,7,Medium
0000233183,9,High
0000233184,9,High
0000233186,8,Medium
0000233190,4,Needs Attention
0000233192,3,Require Activation
0000233193,7,Medium
0000233196,11,High
0000233198,7,Medium
0000233202,6,Promising
0000233206,7,Medium
0000233208,9,High
0000233211,12,High
0000233215,8,Medium
0000233217,10,High
0000233220,11,High
0000233221,11,High
0000233222,6,Promising
0000233223,8,Medium
0000233225,6,Needs Attention
0000233229,11,High
0000233231,9,High
0000233232,8,Medium
0000233237,10,High
0000233239,8,Medium
0000233248,11,High
0000233256,12,High
0000233258,8,Medium
0000233259,10,High
0000233261,11,High
0000233262,12,High
0000233265,8,Medium
0000233271,11,High
0000233282,9,High
0000233283,9,High
0000233285,12,High
0000233286,12,High
0000233287,12,High
0000233288,12,High
0000233290,12,High
0000233292,12,High
0000233294,12,High
0000233295,10,High
0000233296,8,Medium
0000233297,12,High
0000233298,10,High
0000233301,9,High
0000233302,10,High
0000233303,9,High
0000233306,3,Require Activation
0000233309,9,High
0000233312,11,High
0000233314,12,High
0000233315,10,High
0000233316,7,Medium
0000233322,12,High
0000233342,10,High
0000233347,8,Medium
0000233350,11,High
0000233351,10,High
0000233352,8,Medium
0000233354,11,High
0000233356,11,High
0000233359,12,High
0000233362,7,Medium
0000233365,7,Medium
0000233366,7,Medium
0000233370,4,Needs Attention
0000233372,7,Medium
0000233376,11,High
0000233380,5,Needs Attention
0000233381,7,Medium
0000233382,7,Medium
0000233385,11,High
0000233389,6,Promising
0000233392,6,Promising
0000233394,5,Needs Attention
0000233395,12,High
0000233396,4,Needs Attention
0000233405,11,High
